คำคุณศัพท์ na และ i + คำนามคำศัพท์新しいボールペン　あたらしいぼーるぺん　atarashii bo-rupen 　  ปากกาใหม่新しい車　　　　　あたらしいくるま　　　atarashii kuruma 　　 รถใหม่新しい本　　　　　あたらしいほん　　　　atarashii hon 　　　   หนังสือใหม่新しいノート　　　あたらしいのーと　　　atarashii no-to 　　　 สมุดโน้ตใหม่新しい椅子　　　　あたらしいいす　　　　atarashii isu 　　　　  เก้าอี้ใหม่新しい机　　　　　あたらしいつくえ　　　atarashii tsukue 　　   โต๊ะใหม่新しい自転車　　　あたらしいじてんしゃ　atarashii jitensha 　　 จักรยานใหม่古いボールペン　　ふるいぼーるぺん　　　furui bo-rupen　　　　ปากกาเก่า古い車　　　　　　ふるいくるま　　　　　furui kuruma　　　 　 รถเก่า古い本　　　　　　ふるいほん　　　　　　furui hon　　　  　 　 หนังสือเก่า古いノート　　　　ふるいのーと　　　　　furui no-to　　　  　　สมุดโน้ตเก่า古い椅子　　　　　ふるいいす　　　　　　furui isu　　　　　　  เก้าอี้เก่า古い机　　　　　　ふるいつくえ　　　　　furui tsukue　　　　   โต๊ะเก่า古い自転車　　　　ふるいじてんしゃ　　　furui jitensha　　　　 จักรยานเก่า綺麗なボールペン　きれいなぼーるぺん　　kirei na bo-rupen　　  ปากกาสวย綺麗な車　　　　　きれいなくるま　　　　kirei na kuruma　　　 รถสวย綺麗な本　　　　　きれいなほん　　　　　kirei na hon　　　　   หนังสือสวย綺麗なノート　　　きれいなのーと　　　　kirei na no-to　　　　 สนุดโน้ตสวย綺麗な椅子　　　　きれいないす　　　　　kirei na isu　　　　　 เก้าอี้สวย綺麗な机　　　　　きれいなつくえ　　　　kirei na tsukue　　　  โต๊ะสวย綺麗な自転車　　　きれいなじてんしゃ　　kirei na jitensha　　　จักรยานสวย好きなボールペン　すきなぼーるぺん　　　suki na bo-rupen　　  ปากกาที่ชอบ好きな車　　　　　すきなくるま　　　　　suki na kuruma　        รถที่ชอบ好きな本　　　　　すきなほん　　　　　　suki na hon　              หนังสือที่ชอบ好きなノート　　　すきなのーと　　　　　suki na no-to　            สมุดโน้ตที่ชอบ好きな椅子　　　　すきないす　　　　　　suki na isu　                เก้าอี้ที่ชอบ好きな机　　　　　すきなつくえ　　　　　suki na tsukue　          โต๊ะที่ชอบ好きな自転車　　　すきなじてんしゃ　　　suki na jitensha　        จักรยานที่ชอบ好きな人　　　　　すきなひと　　　　　　suki na hito　             　คนที่ชอบ綺麗な人　　　　　きれいなひと　　　　　kirei na hito　            　 คนสวยハンサムな人　　　はんさむなひと　　　　hansamu na hito　     　คนหล่อ元気な人　　　　　げんきなひと　　　　　genki na hito　           　คนร่าเริง美味しくない　　　おいしくない　　　　　oishiku nai　              　ไม่อร่อย楽しくない　　　　たのしくない　　　　　tanoshiku nai　          　ไม่สนุก古くない　　　　　ふるくない　　　　　　furuku nai　              　 ไม่เก่า大きくない　　　　おおきくない　　　　　ookiku nai　            　   ไม่ใหญ่小さくない　　　　ちいさくない　　　　　chiisaku nai　          　  ไม่เล็ก高くない　　　　　たかくない　　　　　　takaku nai　             　  ไม่แพง安くない　　　　　やすくない　　　　　　yasuku nai　          　    ไม่ถูก暑くない　　　　　あつくない　　　　　　atsuku nai　           　    ไม่ร้อน寒くない　　　　　さむくない　　　　　　samuku nai　          　   ไม่หนาว綺麗じゃない　　　きれいじゃない　　　　kirei jya nai　         　     ไม่สวยハンサムじゃない　はんさむじゃない　　　hansamu jya nai　   　   ไม่หล่อ元気じゃない　　　げんきじゃない　　　　genki jya nai　          　  ไม่ร่าเริง便利じゃない　　　べんりじゃない　　　　benri jya nai　          　   ไม่สะดวก有名じゃない　　　ゆうめいじゃない　　　yu-mei jya nai　         　 ไม่ดัง
คำคุณศัพท์ na และ i + คำนาม
คำศัพท์
新しいボールペン　あたらしいぼーるぺん　atarashii bo-rupen 　  ปากกาใหม่
新しい車　　　　　あたらしいくるま　　　atarashii kuruma 　　 รถใหม่
新しい本　　　　　あたらしいほん　　　　atarashii hon 　　　   หนังสือใหม่
新しいノート　　　あたらしいのーと　　　atarashii no-to 　　　 สมุดโน้ตใหม่
新しい椅子　　　　あたらしいいす　　　　atarashii isu 　　　　  เก้าอี้ใหม่
新しい机　　　　　あたらしいつくえ　　　atarashii tsukue 　　   โต๊ะใหม่
新しい自転車　　　あたらしいじてんしゃ　atarashii jitensha 　　 จักรยานใหม่
古いボールペン　　ふるいぼーるぺん　　　furui bo-rupen　　　　ปากกาเก่า
古い車　　　　　　ふるいくるま　　　　　furui kuruma　　　 　 รถเก่า
古い本　　　　　　ふるいほん　　　　　　furui hon　　　  　 　 หนังสือเก่า
古いノート　　　　ふるいのーと　　　　　furui no-to　　　  　　สมุดโน้ตเก่า
古い椅子　　　　　ふるいいす　　　　　　furui isu　　　　　　  เก้าอี้เก่า
古い机　　　　　　ふるいつくえ　　　　　furui tsukue　　　　   โต๊ะเก่า
古い自転車　　　　ふるいじてんしゃ　　　furui jitensha　　　　 จักรยานเก่า
綺麗なボールペン　きれいなぼーるぺん　　kirei na bo-rupen　　  ปากกาสวย
綺麗な車　　　　　きれいなくるま　　　　kirei na kuruma　　　 รถสวย
綺麗な本　　　　　きれいなほん　　　　　kirei na hon　　　　   หนังสือสวย
綺麗なノート　　　きれいなのーと　　　　kirei na no-to　　　　 สนุดโน้ตสวย
綺麗な椅子　　　　きれいないす　　　　　kirei na isu　　　　　 เก้าอี้สวย
綺麗な机　　　　　きれいなつくえ　　　　kirei na tsukue　　　  โต๊ะสวย
綺麗な自転車　　　きれいなじてんしゃ　　kirei na jitensha　　　จักรยานสวย
好きなボールペン　すきなぼーるぺん　　　suki na bo-rupen　　  ปากกาที่ชอบ
好きな車　　　　　すきなくるま　　　　　suki na kuruma　        รถที่ชอบ
好きな本　　　　　すきなほん　　　　　　suki na hon　              หนังสือที่ชอบ
好きなノート　　　すきなのーと　　　　　suki na no-to　            สมุดโน้ตที่ชอบ
好きな椅子　　　　すきないす　　　　　　suki na isu　                เก้าอี้ที่ชอบ
好きな机　　　　　すきなつくえ　　　　　suki na tsukue　          โต๊ะที่ชอบ
好きな自転車　　　すきなじてんしゃ　　　suki na jitensha　        จักรยานที่ชอบ
好きな人　　　　　すきなひと　　　　　　suki na hito　             　คนที่ชอบ
綺麗な人　　　　　きれいなひと　　　　　kirei na hito　            　 คนสวย
ハンサムな人　　　はんさむなひと　　　　hansamu na hito　     　คนหล่อ
元気な人　　　　　げんきなひと　　　　　genki na hito　           　คนร่าเริง
美味しくない　　　おいしくない　　　　　oishiku nai　              　ไม่อร่อย
楽しくない　　　　たのしくない　　　　　tanoshiku nai　          　ไม่สนุก
古くない　　　　　ふるくない　　　　　　furuku nai　              　 ไม่เก่า
大きくない　　　　おおきくない　　　　　ookiku nai　            　   ไม่ใหญ่
小さくない　　　　ちいさくない　　　　　chiisaku nai　          　  ไม่เล็ก
高くない　　　　　たかくない　　　　　　takaku nai　             　  ไม่แพง
安くない　　　　　やすくない　　　　　　yasuku nai　          　    ไม่ถูก
暑くない　　　　　あつくない　　　　　　atsuku nai　           　    ไม่ร้อน
寒くない　　　　　さむくない　　　　　　samuku nai　          　   ไม่หนาว
綺麗じゃない　　　きれいじゃない　　　　kirei jya nai　         　     ไม่สวย
ハンサムじゃない　はんさむじゃない　　　hansamu jya nai　   　   ไม่หล่อ
元気じゃない　　　げんきじゃない　　　　genki jya nai　          　  ไม่ร่าเริง
便利じゃない　　　べんりじゃない　　　　benri jya nai　          　   ไม่สะดวก
有名じゃない　　　ゆうめいじゃない　　　yu-mei jya nai　         　 ไม่ดัง
